,Title,Author,Author Average Rating,Author Votes,Author Review Count,Distinct Works,Year,Rating,Raters,Genres,worth_reading
77,Dracula (Paperback),Bram Stoker,4.0,"1,200,568","43,083","1,456",1897,4.01,1138461,"Classics,Horror,Fiction,Fantasy,Paranormal,Gothic,Fantasy,Literature,Audiobook,Literature",yes
78,The Nightingale (Hardcover),Kristin Hannah,4.31,"3,556,263","296,614",82,2015,4.6,1029386,"Historical,Fiction,Historical,War,War,Audiobook,Adult,Romance,Cultural,Adult Fiction",yes
79,The Count of Monte Cristo (Paperback),Alexandre Dumas,4.2,"1,398,021","46,649","3,373",1844,4.28,849723,"Classics,Fiction,Historical,Adventure,Literature,Historical,Cultural,Novels,Classics,Romance",yes
80,The Goldfinch (Hardcover),Donna Tartt,4.0,"1,424,451","126,050",28,2013,3.93,842945,"Fiction,Contemporary,Literary Fiction,Audiobook,Art,Mystery,Adult,Novels,Adult Fiction,Literature",yes
81,Sense and Sensibility (Paperback),Jane Austen,4.14,"7,410,613","236,945","2,081",1811,4.08,1103567,"Classics,Fiction,Romance,Historical,Literature,Historical,Audiobook,Literature,Classics,European Literature",yes
82,A Thousand Splendid Suns (Hardcover),Khaled Hosseini,4.33,"4,717,719","195,536",27,2007,4.41,1385361,"Fiction,Historical,Contemporary,Historical,Novels,War,Classics,Adult,Adult Fiction,Drama",yes
83,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,4.17,"3,659,317","407,612",69,2012,3.95,798096,"Fantasy,Young Adult,Romance,Fiction,Young Adult,Fantasy,Fantasy,Adventure,Audiobook,Fantasy",yes
84,Beach Read (Paperback),Emily Henry,4.05,"1,909,407","216,963",11,2020,4.05,659383,"Romance,Contemporary,Fiction,Adult,Romance,Womens Fiction,Audiobook,Adult Fiction,Writing,New Adult",yes
85,Little Fires Everywhere (Hardcover),Celeste Ng,4.01,"1,538,963","115,892",14,2017,4.09,1023059,"Fiction,Contemporary,Audiobook,Adult,Literary Fiction,Adult Fiction,Book Club,Novels,Mystery,Family",yes
86,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones (Kindle Edition),James Clear,4.38,"509,680","35,629",19,2018,4.38,507906,"Nonfiction,Self Help,Psychology,Self Help,Productivity,Audiobook,Business,Leadership,Science,Health",yes
87,Life of Pi (Paperback),Yann Martel,3.91,"1,569,054","57,986",29,2001,3.93,1520868,"Fiction,Fantasy,Classics,Adventure,Contemporary,Magical Realism,Novels,Literature,Cultural,Philosophy",yes
88,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.36,"8,084,822","673,308",87,2012,4.19,928882,"Fantasy,Young Adult,Romance,Fiction,Young Adult,Fantasy,Fantasy,New Adult,Fairies,Adventure",yes
89,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.35,"10,073,413","175,255",512,1954,4.38,2638879,"Fantasy,Classics,Fiction,Adventure,Fantasy,Science Fiction Fantasy,Fantasy,Audiobook,Young Adult,Novels",yes
90,Quiet: The Power of Introverts in a World That Can't Stop Talking (Hardcover),Susan Cain,4.07,"413,448","29,455",12,2012,4.07,397093,"Nonfiction,Psychology,Self Help,Science,Business,Audiobook,Self Help,Sociology,Leadership,Adult",yes
91,The Love Hypothesis (Paperback),Ali Hazelwood,4.13,"1,187,570","149,802",9,2021,4.26,832408,"Romance,Contemporary,Fiction,Romance,Adult,Womens Fiction,New Adult,Audiobook,Adult Fiction,Academic",yes
92,The Lovely Bones (Mass Market Paperback),Alice Sebold,3.82,"2,372,006","54,763",14,2002,3.84,2229732,"Fiction,Mystery,Young Adult,Contemporary,Fantasy,Mystery,Thriller,Adult,Adult Fiction,Drama",yes
93,It (Paperback),Stephen King,4.06,"17,484,688","775,845","1,886",1984,4.25,992609,"Horror,Fiction,Thriller,Fantasy,Audiobook,Classics,Mystery,Adult,Fantasy,Fantasy",yes
94,Looking for Alaska (Paperback),John Green,4.0,"8,873,634","413,752",46,2005,3.98,1431739,"Young Adult,Fiction,Contemporary,Romance,Realistic Fiction,Young Adult,Young Adult,Mystery,Young Adult,Young Adult",yes
95,Normal People (Hardcover),Sally Rooney,3.78,"1,665,108","166,468",33,2018,3.82,1000368,"Fiction,Contemporary,Romance,Literary Fiction,Audiobook,Adult,Cultural,Novels,Adult Fiction,Young Adult",yes
96,The Little Prince (Paperback),Antoine de Saint-Exupéry,4.31,"1,888,375","60,412",573,1943,4.32,1834734,"Classics,Fiction,Fantasy,Childrens,Cultural,Philosophy,Young Adult,Literature,Childrens,European Literature",yes
97,The Secret History (Paperback),Donna Tartt,4.0,"1,424,468","126,051",28,1992,4.17,511532,"Fiction,Mystery,Contemporary,Classics,Thriller,Literary Fiction,Thriller,Adult,Mystery,Novels",yes
98,Man's Search for Meaning (Paperback),Viktor E. Frankl,4.36,"609,684","33,863",107,1946,4.37,590132,"Nonfiction,Psychology,Philosophy,History,Self Help,Autobiography,Biography,Classics,Spirituality,World War II",yes
99,Of Mice and Men (Paperback),John Steinbeck,3.95,"4,401,139","134,553",461,1937,3.88,2320586,"Classics,Fiction,Academic,Historical,Literature,Academic,Novels,Young Adult,Literature,Historical",yes
100,Emma (Paperback),Jane Austen,4.14,"7,410,613","236,945","2,081",1815,4.04,796234,"Classics,Fiction,Romance,Historical,Literature,Historical,Audiobook,Literature,Classics,Novels",yes
101,"Eat, Pray, Love (Paperback)",Elizabeth Gilbert,3.69,"2,279,111","116,283",46,2006,3.61,1649294,"Nonfiction,Autobiography,Travel,Biography,Womens Fiction,Romance,Spirituality,Biography Memoir,Contemporary,Biography",yes
102,They Both Die at the End (Hardcover),Adam Silvera,3.85,"859,037","112,867",23,2017,3.82,551162,"Young Adult,LGBT,Romance,Contemporary,Fiction,LGBT,Audiobook,Fantasy,Science Fiction,LGBT",yes
103,The Hating Game (Paperback),Sally  Thorne,3.87,"707,197","78,791",5,2016,3.97,566349,"Romance,Contemporary,Romance,Fiction,Womens Fiction,Adult,Audiobook,New Adult,Humor,Adult Fiction",yes
104,The Tipping Point: How Little Things Can Make a Big Difference (Paperback),Malcolm Gladwell,4.03,"2,627,137","106,460",90,2000,3.99,775693,"Nonfiction,Business,Psychology,Sociology,Self Help,Science,Economics,Audiobook,Leadership,Self Help",yes
105,Fangirl (Kindle Edition),Rainbow Rowell,3.96,"2,766,957","263,016",93,2013,3.98,701984,"Young Adult,Contemporary,Romance,Fiction,Realistic Fiction,New Adult,Audiobook,Young Adult,Young Adult,Womens Fiction",yes
106,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,4.33,"755,478","94,899",10,2019,4.36,447031,"Mystery,Young Adult,Thriller,Thriller,Fiction,Contemporary,Mystery,Audiobook,Mystery,Suspense",yes
107,The Vanishing Half (Hardcover),Brit Bennett,4.13,"756,447","62,830",14,2020,4.18,634666,"Fiction,Historical,Contemporary,Audiobook,Literary Fiction,Race,Historical,Adult,Book Club,Adult Fiction",yes
108,"The Maze Runner (The Maze Runner, #1)",James Dashner,3.95,"2,764,824","144,704",50,2009,4.04,1348867,"Young Adult,Science Fiction,Science Fiction,Fiction,Fantasy,Adventure,Apocalyptic,Mystery,Young Adult,Audiobook",yes
109,"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,3.95,"1,065,771","104,439",23,2017,3.98,636020,"Mystery,Young Adult,Contemporary,Thriller,Fiction,Thriller,Romance,Audiobook,Mystery,LGBT",yes
110,The Guest List (Hardcover),Lucy Foley,3.78,"1,187,201","108,251",14,2020,3.85,709095,"Mystery,Thriller,Fiction,Thriller,Audiobook,Suspense,Adult,Contemporary,Mystery,Adult Fiction",yes
111,"American Gods (American Gods, #1)",Neil Gaiman,4.14,"7,226,470","450,330","1,481",2001,4.11,864096,"Fantasy,Fiction,Fantasy,Fantasy,Audiobook,Science Fiction,Science Fiction Fantasy,Adult,Contemporary,Horror",yes
112,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.75,"4,424,543","167,741",39,2011,3.66,2359136,"Romance,Fiction,Adult Fiction,Adult,Erotica,Contemporary,Romance,Womens Fiction,Romance,Adult Fiction",yes
113,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.46,"1,572,436","93,422",55,2007,4.52,865033,"Fantasy,Fiction,Fantasy,Fantasy,Fantasy,Science Fiction Fantasy,Adult,Adventure,Audiobook,Epic",yes
114,A Clockwork Orange (Paperback),Anthony Burgess,4.0,"751,071","22,405",193,1962,4.0,669547,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Horror,Novels,Classics,Mystery,European Literature",yes
115,Book Lovers (Hardcover),Emily Henry,4.05,"1,909,407","216,963",11,2022,4.24,488545,"Romance,Contemporary,Fiction,Romance,Adult,Audiobook,Womens Fiction,Writing,Adult Fiction,New Adult",yes
116,"Outlander (Outlander, #1)",Diana Gabaldon,4.29,"2,852,758","147,520",188,1991,4.25,966895,"Historical,Romance,Fantasy,Fiction,Science Fiction,Historical,Romance,Adult,Audiobook,Cultural",yes
117,Reminders of Him (Kindle Edition),Colleen Hoover,4.24,"9,637,673","874,520",70,2022,4.49,634324,"Romance,Fiction,Contemporary,Romance,Adult,Audiobook,New Adult,Womens Fiction,Drama,Adult Fiction",yes
118,Never Let Me Go (Paperback),Kazuo Ishiguro,3.85,"1,336,656","117,741",46,2005,3.84,602448,"Fiction,Science Fiction,Science Fiction,Contemporary,Literary Fiction,Romance,Adult,Novels,Literature,Classics",yes
119,Romeo and Juliet (Mass Market Paperback),William Shakespeare,3.86,"7,295,720","154,513","7,712",1597,3.74,2405535,"Classics,Plays,Fiction,Romance,Academic,Drama,Academic,Literature,Young Adult,Poetry",yes
120,The Stranger (Paperback),Albert Camus,4.02,"1,435,968","65,346",564,1942,4.01,911533,"Classics,Fiction,Philosophy,Cultural,Literature,Novels,European Literature,Academic,Literary Fiction,Literature",yes
121,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,4.27,"665,937","27,452",174,1969,4.28,488877,"Nonfiction,Classics,Autobiography,Biography,Biography,Poetry,Feminism,Biography Memoir,Cultural,Race",yes
122,War and Peace (Paperback),Leo Tolstoy,4.08,"1,487,197","77,552","3,537",1869,4.15,303531,"Classics,Fiction,Historical,Cultural,Literature,Literature,War,Novels,Historical,Literature",yes
123,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,4.3,"934,631","63,073",14,2018,4.28,752327,"Historical,Fiction,Historical,Audiobook,War,World War II,Romance,War,Adult,Book Club",yes
