,Title,Author,Author Average Rating,Author Votes,Review Count,Distinct Works,Year,Rating,Raters,Genres
10,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,4.26,14551657,471013,small,new,3.83,large,"Young Adult,Science Fiction,Fiction,Fantasy,Science Fiction,Audiobook,Romance,Adventure,Young Adult,Science Fiction Fantasy"
11,For Whom the Bell Tolls (Paperback),Ernest Hemingway,3.83,2446525,97595,large,old,3.98,large,"Classics,Fiction,Historical,Literature,War,Novels,Literature,Cultural,Classics,Historical"
12,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.37,6423128,220105,large,new,4.41,large,"Fantasy,Fiction,Fantasy,Science Fiction Fantasy,Fantasy,Adult,Adventure,Audiobook,Fantasy,Epic"
13,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,3.91,744671,39434,small,new,3.86,large,"Nonfiction,Autobiography,Humor,Audiobook,Biography,Humor,Biography Memoir,Biography,Writing,Adult"
14,"Pushing the Limits (Pushing the Limits, #1)",Katie McGarry,4.08,273501,24535,small,new,4.05,large,"Romance,Young Adult,Contemporary,New Adult,Romance,Young Adult,Realistic Fiction,Fiction,Young Adult,Young Adult"
15,Traffic,John Ruskin,3.77,8484,772,large,new,2.88,small,"Classics,Nonfiction,Art,Writing,Literature,Short Stories,European Literature,Philosophy,Politics,Historical"
16,Luster (Hardcover),Raven Leilani,3.56,82410,10825,very small,new,3.56,large,"Fiction,Contemporary,Literary Fiction,Audiobook,Romance,Adult,Race,Novels,Adult Fiction,Cultural"
17,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.74,378361,20932,average,old,3.72,large,"Fiction,Classics,Historical,Cultural,Academic,Literature,Novels,Academic,Western Africa,Historical"
18,Dracula (Paperback),Bram Stoker,4.0,1200568,43083,large,old,4.01,large,"Classics,Horror,Fiction,Fantasy,Paranormal,Gothic,Fantasy,Literature,Audiobook,Literature"
19,"This Savage Song (Monsters of Verity, #1)",Victoria Schwab,3.97,394763,67494,small,new,4.05,large,"Fantasy,Young Adult,Science Fiction,Fantasy,Fantasy,Fiction,Young Adult,Audiobook,Horror,Science Fiction"
20,"Life After Life (Todd Family, #1)",Kate Atkinson,3.81,654534,67510,medium,new,3.77,large,"Fiction,Historical,Fantasy,Historical,Science Fiction,Audiobook,Literary Fiction,Adult,War,War"
21,The Screwtape Letters (Kindle Edition),C.S. Lewis,4.16,7067589,179295,large,old,4.25,large,"Fiction,Classics,Christian,Religion,Religion,Fantasy,Religion,Christian Fiction,Religion,Philosophy"
22,The Alice Network (Paperback),Kate Quinn,4.32,824549,70577,small,new,4.31,large,"Historical,Fiction,Historical,Audiobook,War,War,Adult,Cultural,Book Club,Adult Fiction"
23,The Brief Wondrous Life of Oscar Wao (Hardcover),Junot Díaz,3.88,394370,33043,medium,new,3.89,large,"Fiction,Contemporary,Magical Realism,Novels,Literary Fiction,Historical,Literature,Audiobook,Book Club,Adult"
24,Potboiler,Jesse Kellerman,3.57,37973,4159,small,new,2.9,small,"Mystery,Thriller,Fiction,Suspense,Spy Thriller,Mystery,Adult Fiction,Audiobook"
25,Salt: A World History (Paperback),Mark Kurlansky,3.78,117164,9890,medium,new,3.74,large,"History,Nonfiction,Food and Drink,Science,History,Historical,History,Audiobook,Food and Drink,History"
26,Book Lovers (Hardcover),Emily Henry,4.05,1909407,216963,small,new,4.24,large,"Romance,Contemporary,Fiction,Romance,Adult,Audiobook,Womens Fiction,Writing,Adult Fiction,New Adult"
27,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,4.1,796599,104007,small,new,3.97,large,"Young Adult,Science Fiction,Science Fiction,Fantasy,Fiction,Adventure,Young Adult,Thriller,Audiobook,Apocalyptic"
28,Fifty Shades of Mr Darcy: A Parody,William Codpiece Thwackery,2.86,546,140,very small,new,2.86,small,"Romance,Humor,Adult Fiction,Fiction,Humor,Adult,Erotica,Historical,Historical,Romance"
29,"Furyborn (Empirium, #1)",Claire Legrand,3.85,103339,18161,small,new,3.82,large,"Fantasy,Young Adult,Young Adult,Romance,Fiction,Fantasy,Fantasy,New Adult,Audiobook,Paranormal"
30,A Fine Balance (Paperback),Rohinton Mistry,4.28,180570,12494,small,new,4.37,large,"Fiction,Historical,Cultural,Asian Literature,Cultural,Literary Fiction,Cultural,Novels,Historical,Literature"
31,The Ultimates 3: Who Killed the Scarlet Witch?,Jeph Loeb,4.11,386954,15760,large,new,2.41,small,"Sequential Art,Sequential Art,Superheroes,Comics,Comics,Fiction,Graphic Novels Comics,Science Fiction,Comics Manga,Fantasy"
32,Fight Club (Paperback),Chuck Palahniuk,3.84,1638041,74331,average,new,4.19,large,"Fiction,Classics,Contemporary,Thriller,Novels,Mystery,Adult,Literature,Literature,Adult Fiction"
33,North and South (Paperback),Elizabeth Gaskell,4.01,315623,20932,large,old,4.14,large,"Classics,Fiction,Romance,Historical,Historical,Literature,Historical,Literature,Romance,Audiobook"
34,"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,4.09,2906066,278341,average,new,4.37,large,"Fantasy,Young Adult,Romance,Fairies,Young Adult,Fiction,Fantasy,Audiobook,Romance,Paranormal"
35,"Guns, Germs, and Steel: The Fates of Human Societies (Paperback)",Jared Diamond,4.01,502119,20648,small,new,4.04,large,"History,Nonfiction,Science,Anthropology,Sociology,Politics,Economics,Historical,History,Audiobook"
36,Passenger to Frankfurt,Agatha Christie,4.02,5724161,337897,large,new,2.88,medium,"Mystery,Fiction,Mystery,Classics,Thriller,Mystery,Thriller,European Literature,Suspense,Novels"
37,Beautiful Broken Girls,Kim  Savage,3.16,4499,1088,very small,new,2.7,small,"Young Adult,Mystery,Contemporary,Thriller,Thriller,Fiction,Young Adult,Suspense,Magical Realism,Young Adult"
38,Confessions of a Counterfeit Farm Girl: A Memoir,Susan McCorkindale,2.9,1506,367,very small,new,2.78,medium,"Nonfiction,Autobiography,Humor,Womens Fiction,Biography,Biography,Biography Memoir,Family,Unfinished,Animals"
39,The BFG (Paperback),Roald Dahl,4.14,3884933,114661,large,old,4.22,large,"Fantasy,Childrens,Fiction,Classics,Childrens,Young Adult,Humor,Adventure,Audiobook,Childrens"
40,Let's Pretend This Never Happened: A Mostly True Memoir (Hardcover),Jenny  Lawson,3.91,382119,40707,very small,new,3.89,large,"Nonfiction,Autobiography,Humor,Biography,Audiobook,Humor,Biography Memoir,Biography,Adult,Health"
41,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants (Hardcover)",Malcolm Gladwell,4.03,2627214,106464,medium,new,3.96,large,"Nonfiction,Psychology,Business,Audiobook,Self Help,Sociology,Science,Leadership,History,Self Help"
42,The Diagnosis,Alan Lightman,3.81,143146,9525,small,new,2.85,medium,"Fiction,Novels,Literature,Contemporary,Unfinished,Adult,Literature,Book Club,Literary Fiction,Health"
43,"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.04,3486340,218499,large,old,4.13,large,"Fiction,Classics,Science Fiction,Science Fiction,Feminism,Fantasy,Adult,Audiobook,Literature,Novels"
44,Leaving Isn't the Hardest Thing,Lauren  Hough,3.27,8713,1592,very small,new,3.27,medium,"Autobiography,Nonfiction,Writing,LGBT,LGBT,Audiobook,Religion,Biography,Feminism,Religion"
45,Romeo and Juliet (Mass Market Paperback),William Shakespeare,3.86,7295720,154513,large,old,3.74,large,"Classics,Plays,Fiction,Romance,Academic,Drama,Academic,Literature,Young Adult,Poetry"
46,Loveless (Paperback),Alice Oseman,4.5,1749895,210923,small,new,4.28,large,"Contemporary,LGBT,Young Adult,LGBT,Fiction,Romance,Audiobook,Young Adult,Young Adult,LGBT"
47,Belle in the Big Apple: A Novel with Recipes,Brooke Parkhurst,3.35,417,77,very small,new,2.23,small,"Fiction,Womens Fiction"
48,Chicago: A Novel of Prohibition,David Mamet,3.83,83307,4830,average,new,2.92,medium,"Fiction,Historical,Mystery,Mystery,Historical,Literature,Thriller,Novels,Thriller,Literary Fiction"
49,"The Great Corruption (Uncanny X-Force, #3)",Sam Humphries,3.62,36471,5107,large,new,2.96,small,"Sequential Art,Superheroes,Marvel,Sequential Art,Comics,Graphic Novels Comics,Comics,Fiction"
50,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,David Bayles,3.76,84922,1277,very small,new,3.76,large,"Art,Nonfiction,Language,Self Help,Philosophy,Psychology,Design,Art,Art,Self Help"
51,Seven Days in June (Hardcover),Tia Williams,4.08,91995,11681,small,new,4.08,large,"Romance,Fiction,Contemporary,Romance,Adult,Audiobook,Adult Fiction,Womens Fiction,Writing,Cultural"
52,The Invention of Wings (Hardcover),Sue Monk Kidd,4.07,1745263,82645,small,new,4.25,large,"Historical,Fiction,Historical,Book Club,Audiobook,Adult,Adult Fiction,Novels,Literary Fiction,Cultural"
53,Norse Mythology (Paperback),Neil Gaiman,4.14,7226566,450340,large,new,4.1,large,"Fantasy,Fantasy,Fiction,Audiobook,Short Stories,Historical,Classics,Adult,Retellings,Religion"
54,"It Starts with Us (It Ends with Us, #2)",Colleen Hoover,4.24,9637673,874520,medium,new,4.05,large,"Romance,Fiction,Contemporary,Adult,Audiobook,Romance,New Adult,Womens Fiction,Love,Young Adult"
55,Notes from Underground (Paperback),Fyodor Dostoevsky,4.19,1947728,101872,large,old,4.17,large,"Classics,Fiction,Philosophy,Cultural,Literature,Literature,Novels,Literature,Psychology,Literary Fiction"
56,Writers & Lovers (Hardcover),Lily King,3.94,223509,26214,small,new,4.05,large,"Fiction,Contemporary,Romance,Literary Fiction,Audiobook,Adult,Adult Fiction,Novels,Language,Writing"
57,Where the Sidewalk Ends (Hardcover),Shel Silverstein,4.34,3015019,42829,average,old,4.32,large,"Poetry,Childrens,Classics,Fiction,Humor,Young Adult,Childrens,Childrens,Childrens,Fantasy"
58,Lore (Hardcover),Alexandra Bracken,4.09,505672,58592,small,new,3.79,large,"Fantasy,Fantasy,Young Adult,Mythology,Fiction,Young Adult,Retellings,Fantasy,Romance,Fantasy"
59,Perfume: The Story of a Murderer (Paperback),Patrick Süskind,4.01,441779,23386,small,old,4.03,large,"Fiction,Classics,Historical,Horror,Mystery,Thriller,Mystery,Historical,European Literature,Novels"
60,All the Ugly and Wonderful Things (Hardcover),Bryn Greenwood,4.02,152084,20367,very small,new,4.02,large,"Fiction,Contemporary,Romance,Adult,Audiobook,Adult Fiction,Literary Fiction,Dark,Sociology,Young Adult"
61,"The Winner's Curse (The Winner's Trilogy, #1)",Marie Rutkoski,4.03,250064,34556,small,new,3.96,large,"Fantasy,Young Adult,Romance,Science Fiction,Young Adult,Fiction,Fantasy,Historical,Historical,War"
62,A Christmas Carol (Paperback),Charles Dickens,3.91,3609527,121943,large,old,4.07,large,"Classics,Fiction,Holiday,Fantasy,Literature,Audiobook,Historical,Holiday,Academic,Literature"
63,Between the World and Me (Hardcover),Ta-Nehisi Coates,4.27,499209,49084,average,new,4.4,large,"Nonfiction,Autobiography,Race,Audiobook,History,Social Movements,Biography,Politics,Writing,Cultural"
64,The Emperor of All Maladies: A Biography of Cancer (Hardcover),Siddhartha Mukherjee,4.32,145036,12607,small,new,4.32,large,"Nonfiction,Science,History,Health,Medical,Health,Science,Audiobook,Biography,Science"
65,Her,Harriet Lane,3.08,15629,2648,very small,new,2.82,medium,"Fiction,Thriller,Mystery,Suspense,Contemporary,Thriller,Thriller,Adult,Adult Fiction,Novels"
66,Crazy,Benjamin Lebert,3.01,3154,215,small,new,2.92,medium,"Young Adult,Fiction,European Literature,Contemporary,Academic,Novels,Young Adult,Cultural,Roman,Drama"
67,Holy Terror,Frank Miller,4.13,820018,23429,large,new,1.98,small,"Sequential Art,Sequential Art,Comics,Fiction,Comics,War,Graphic Novels Comics,Politics,Dc Comics,Mystery"
68,Lair of the White Worm,Bram Stoker,4.0,1200560,43083,large,new,2.8,medium,"Horror,Classics,Fiction,Gothic,Fantasy,Novels,Literature,Literature,Mystery,Fantasy"
69,Amnesia,Peter Carey,3.61,87855,7609,medium,new,2.83,medium,"Fiction,Cultural,Thriller,Contemporary,Mystery,Literary Fiction,Mystery,Audiobook,Novels,Science Fiction"
70,"The Gunslinger (The Dark Tower, #1)",Stephen King,4.06,17484985,775861,large,old,3.93,large,"Fantasy,Fiction,Horror,Science Fiction,Westerns,Adventure,Audiobook,Science Fiction Fantasy,Thriller,Apocalyptic"
71,"Suicide Ride: The Platinum Man (Suicide Ride, #1)",E. Llewellyn,2.89,340,137,very small,new,2.81,small,"Romance,Business,Contemporary"
72,Last Night at the Telegraph Club (Hardcover),Malinda Lo,3.92,139559,20546,medium,new,4.26,large,"Historical,LGBT,Romance,Young Adult,LGBT,LGBT,Fiction,Historical,Contemporary,Audiobook"
73,The Lord of the Rings (Paperback),J.R.R. Tolkien,4.35,10073631,175261,large,old,4.52,large,"Fantasy,Classics,Fiction,Adventure,Science Fiction Fantasy,Fantasy,Fantasy,Literature,Novels,Young Adult"
74,"Slammed (Slammed, #1)",Colleen Hoover,4.24,9639646,874623,medium,new,4.22,large,"Romance,New Adult,Young Adult,Contemporary,Romance,Fiction,Womens Fiction,Young Adult,Realistic Fiction,Poetry"
75,A Dark Matter,Peter Straub,4.02,466352,21219,average,new,2.97,medium,"Horror,Fiction,Mystery,Thriller,Fantasy,Fantasy,Suspense,Fantasy,Audiobook,Occult"
76,Girls in Trucks,Katie Crouch,3.13,19426,3024,very small,new,2.84,medium,"Fiction,Womens Fiction,Contemporary,American,Adult,Adult Fiction,Young Adult,Young Adult,Romance,Womens"
77,The Paper Palace (Hardcover),Miranda Cowley Heller,3.86,217680,16578,very small,new,3.86,large,"Fiction,Romance,Contemporary,Audiobook,Literary Fiction,Adult,Book Club,Adult Fiction,Womens Fiction,Family"
78,"What If? Serious Scientific Answers to Absurd Hypothetical Questions (What If?, #1)",Randall Munroe,4.15,202771,14524,small,new,4.14,large,"Nonfiction,Science,Humor,Audiobook,Science,Humor,Science,Sequential Art,Adult,Reference"
79,Pride and Prejudice and Mistletoe,Melissa de la Cruz,3.79,719526,44486,average,new,2.63,medium,"Romance,Holiday,Fiction,Contemporary,Holiday,Retellings,Womens Fiction,Adult,Romance,Adult Fiction"
80,Four Blondes,Candace Bushnell,3.37,234967,12462,small,new,2.84,large,"Womens Fiction,Fiction,Romance,Contemporary,Adult Fiction,New York,Short Stories,Humor,Novels,Adult"
81,Slave to Fashion,Rebecca    Campbell,2.68,614,80,very small,new,2.66,small,"Womens Fiction,Fiction,Humor,Couture,Contemporary,European Literature,Romance"
82,The Culling: Rise of the Ravagers,Scott Lobdell,3.78,102390,8285,large,new,2.84,small,"Sequential Art,Sequential Art,Superheroes,Comics,Comics,Young Adult,Graphic Novels Comics,Science Fiction"
83,The Wedding Writer,Susan Schneider,3.37,720,121,small,new,2.76,small,"Womens Fiction,Fiction"
84,"The Golem and the Jinni (The Golem and the Jinni, #1)",Helene Wecker,4.12,129617,16631,very small,new,4.12,large,"Fantasy,Historical,Fiction,Magical Realism,Historical,Audiobook,Fantasy,Fantasy,Adult,Fantasy"
85,That Thing Called Love,Tuhin A. Sinha,3.24,1747,233,small,new,2.89,small,"Fiction,Romance,Novels,Asian Literature"
86,A Clockwork Orange (Paperback),Anthony Burgess,4.0,751071,22405,average,old,4.0,large,"Classics,Fiction,Science Fiction,Science Fiction,Literature,Horror,Novels,Classics,Mystery,European Literature"
87,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,4.09,710917,41028,average,new,4.25,large,"Science Fiction,Fiction,Fantasy,Space,Science Fiction Fantasy,Audiobook,Horror,Science Fiction,Space,Classics"
88,Conversations with Friends (Kindle Edition),Sally Rooney,3.78,1665226,166483,small,new,3.8,large,"Fiction,Contemporary,Romance,Literary Fiction,LGBT,Audiobook,Cultural,Adult,Novels,LGBT"
89,"The Hot One: A Memoir of Friendship, Sex, and Murder",Carolyn Murnick,3.06,1795,338,very small,new,2.81,medium,"Crime,Autobiography,Nonfiction,Mystery,Mystery,Biography,Young Adult,Biography,New York,Thriller"
90,Pemberley: Or Pride and Prejudice Continued,Emma Tennant,2.76,3648,642,medium,new,2.49,medium,"Fiction,Historical,Romance,Historical,Classics,European Literature,Historical,Adult Fiction,Womens Fiction,Contemporary"
91,The War of the Worlds (Paperback),H.G. Wells,3.82,1238344,50189,large,old,3.83,large,"Classics,Science Fiction,Fiction,Fantasy,Horror,Science Fiction Fantasy,Literature,Audiobook,Novels,Science Fiction"
92,Normal People (Hardcover),Sally Rooney,3.78,1665108,166468,small,new,3.82,large,"Fiction,Contemporary,Romance,Literary Fiction,Audiobook,Adult,Cultural,Novels,Adult Fiction,Young Adult"
93,Every Summer After (Paperback),Carley Fortune,4.31,196738,21857,very small,new,4.31,large,"Romance,Fiction,Contemporary,Romance,Adult,Womens Fiction,Audiobook,Young Adult,New Adult,Adult Fiction"
94,Beach Read (Paperback),Emily Henry,4.05,1909407,216963,small,new,4.05,large,"Romance,Contemporary,Fiction,Adult,Romance,Womens Fiction,Audiobook,Adult Fiction,Writing,New Adult"
95,Game Runner,B.R. Collins,3.34,1103,202,very small,new,2.84,small,"Science Fiction,Young Adult,Science Fiction,Fiction"
96,The Name of the Rose (Paperback),Umberto Eco,3.97,641237,29105,large,old,4.13,large,"Fiction,Historical,Mystery,Classics,Historical,Literature,European Literature,Cultural,Mystery,Novels"
97,The School for Good Mothers (Hardcover),Jessamine Chan,3.56,49840,7703,very small,new,3.56,large,"Fiction,Science Fiction,Science Fiction,Audiobook,Contemporary,Adult,Literary Fiction,Fantasy,Adult Fiction,Speculative Fiction"
98,Radio Silence (Paperback),Alice Oseman,4.5,1749895,210923,small,new,4.21,large,"Contemporary,Young Adult,LGBT,Fiction,LGBT,Audiobook,Health,Young Adult,Romance,Young Adult"
99,The Actress,Amy Sohn,3.56,13499,1269,small,new,2.92,medium,"Fiction,Contemporary,Romance,Womens Fiction,Relationships,Audiobook,Media Tie In,Novels,Womens Fiction,Adult"
100,The Intelligent Investor (Paperback),Benjamin Graham,4.25,126869,3365,medium,old,4.25,large,"Economics,Business,Nonfiction,Economics,Currency,Finance,Self Help,Buisness,Self Help,Unfinished"
101,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky  Chambers,4.25,327695,49882,small,new,4.17,large,"Science Fiction,Fiction,LGBT,Space,LGBT,Fantasy,Adult,Space,Audiobook,Science Fiction Fantasy"
102,"Girl, Interrupted (Paperback)",Susanna Kaysen,3.91,219055,7821,very small,new,3.92,large,"Nonfiction,Autobiography,Psychology,Health,Biography,Mental Health,Classics,Biography Memoir,Biography,Adult"
103,The Autobiography of Malcolm X (Mass Market Paperback),Malcolm X,4.35,259327,8571,small,old,4.35,large,"Nonfiction,Biography,History,Autobiography,Biography,Race,Politics,Classics,Biography Memoir,Cultural"
104,Ghost Rider: Four on the Floor,Felipe Smith,3.67,7105,857,medium,new,2.77,small,"Sequential Art,Superheroes,Sequential Art,Comics,Mystery"
105,Just Mercy: A Story of Justice and Redemption (Hardcover),Bryan Stevenson,4.62,261984,31967,small,new,4.63,large,"Nonfiction,Autobiography,Social Movements,Race,Politics,History,Audiobook,Biography,Law,Race"
106,Breakfast of Champions (Paperback),Kurt Vonnegut Jr.,4.07,2787266,100773,large,old,4.07,large,"Fiction,Classics,Science Fiction,Humor,Literature,Novels,Literature,Literary Fiction,Audiobook,Literature"
107,The Old Man and the Sea (Hardcover),Ernest Hemingway,3.83,2446480,97593,large,old,3.8,large,"Classics,Fiction,Literature,Novels,Literature,Academic,Adventure,Literary Fiction,Classics,Literature"
108,The Witches (Paperback),Roald Dahl,4.14,3884953,114661,large,old,4.17,large,"Fantasy,Childrens,Fiction,Classics,Childrens,Young Adult,Paranormal,Humor,Fantasy,Horror"
109,The Affairs of Others,Amy Grace Loyd,2.79,1323,233,very small,new,2.79,medium,"Fiction,Contemporary,Adult,Literary Fiction,New York,Audiobook,Suspense,Novels,Adult Fiction,Adult Fiction"
110,Nine Perfect Strangers (Hardcover),Liane Moriarty,3.95,3271355,221863,small,new,3.54,large,"Fiction,Audiobook,Contemporary,Mystery,Thriller,Womens Fiction,Adult,Adult Fiction,Thriller,Cultural"
111,Skull Flowers,Jazon Dion Fletcher,2.62,151,53,very small,new,2.62,small,"Fantasy,Young Adult,Science Fiction,Gothic,Science Fiction,Science Fiction,Speculative Fiction,Fantasy,Plays,Science Fiction"
112,Hidden Valley Road: Inside the Mind of an American Family (Hardcover),Robert Kolker,4.06,125434,12561,very small,new,4.16,large,"Nonfiction,Psychology,Science,Audiobook,Biography,Health,History,Mental Health,Autobiography,Health"
113,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,3.92,799433,80016,small,new,3.99,large,"Romance,Young Adult,Contemporary,Womens Fiction,Fiction,Realistic Fiction,Romance,Young Adult,Young Adult,Young Adult"
114,Thirteen Reasons Why (Hardcover),Jay Asher,3.84,982387,65351,small,new,3.86,large,"Young Adult,Contemporary,Fiction,Realistic Fiction,Health,Mystery,Young Adult,Romance,Audiobook,Young Adult"
115,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,4.36,8085813,673367,medium,new,4.57,large,"Fantasy,Young Adult,Romance,New Adult,Fantasy,Fairies,Fiction,Young Adult,Fantasy,Fantasy"
116,Happy Place (Hardcover),Emily Henry,4.05,1909874,216997,small,new,4.57,small,"Romance,Contemporary,Fiction,Adult,Romance,Womens Fiction,Adult Fiction,New Adult"
117,The Almost Moon,Alice Sebold,3.82,2371981,54762,small,new,2.7,large,"Fiction,Contemporary,Adult Fiction,Drama,Adult,Novels,Audiobook,Family,Unfinished,Literary Fiction"
118,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.23,8430713,485060,average,new,4.43,large,"Fantasy,Young Adult,Romance,Fantasy,Science Fiction,Historical,Fantasy,Fiction,Historical,Paranormal"
119,Tris & Izzie,Mette Ivie Harrison,3.37,28623,3791,medium,new,2.61,medium,"Young Adult,Fantasy,Fantasy,Romance,Retellings,Fantasy,Fantasy,Fantasy,Young Adult,Contemporary"
120,"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,4.36,8085813,673367,medium,new,4.52,large,"Fantasy,Romance,Adult,Fairies,Fantasy,New Adult,Fiction,Romance,Fantasy,Fantasy"
121,Orphan Train (Paperback),Christina Baker Kline,4.11,556264,45971,small,new,4.19,large,"Historical,Fiction,Historical,Book Club,Adult,Adult Fiction,Young Adult,Audiobook,Contemporary,Parenting"
122,Hamnet (Hardcover),Maggie O'Farrell,4.09,375352,45670,small,new,4.23,large,"Historical,Fiction,Historical,Literary Fiction,Audiobook,Adult,European Literature,Book Club,Novels,Adult Fiction"
123,How to Stop Time (Paperback),Matt Haig,4.01,1668423,188003,medium,new,3.85,large,"Fiction,Fantasy,Historical,Science Fiction,Science Fiction,Romance,Audiobook,Contemporary,Historical,Adult"
124,One Day in December (Paperback),Josie Silver,3.86,338438,36056,very small,new,3.89,large,"Romance,Fiction,Holiday,Contemporary,Womens Fiction,Audiobook,Holiday,Adult,Romance,Adult Fiction"
125,Sharp Objects (Paperback),Gillian Flynn,4.06,4699849,273616,small,new,4.01,large,"Mystery,Fiction,Thriller,Thriller,Mystery,Suspense,Audiobook,Adult,Contemporary,Horror"
126,Oliver Twist (Paperback),Charles Dickens,3.91,3609527,121943,large,old,3.88,large,"Classics,Fiction,Historical,Literature,Literature,Novels,Classics,Historical,Historical,European Literature"
127,Kindred (Paperback),Octavia E. Butler,4.21,574767,59983,medium,old,4.29,large,"Historical,Fiction,Science Fiction,Fantasy,Science Fiction,Historical,Classics,Cultural,Race,Audiobook"
128,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,3.8,1052345,31289,small,new,3.82,large,"Young Adult,Fiction,Womens Fiction,Contemporary,Romance,Young Adult,Realistic Fiction,Childrens,Young Adult,Young Adult"
129,Eleanor Oliphant Is Completely Fine (Paperback),Gail Honeyman,4.25,1051380,85287,very small,new,4.25,large,"Fiction,Contemporary,Audiobook,Adult,Health,Adult Fiction,Romance,Book Club,Literary Fiction,Novels"
130,V for Vendetta (Hardcover),Alan Moore,4.24,1681066,52900,large,new,4.26,large,"Sequential Art,Sequential Art,Fiction,Science Fiction,Science Fiction,Graphic Novels Comics,Classics,Comics,Politics,Fantasy"
131,The Widows of Eastwick (Eastwick #2),John Updike,3.8,307058,20816,large,new,2.96,medium,"Fiction,Fantasy,Literary Fiction,Paranormal,Literature,Novels,Contemporary,Classics,Audiobook,Fantasy"
132,"Hex Hall (Hex Hall, #1)",Rachel Hawkins,3.84,695944,68308,small,new,3.93,large,"Young Adult,Fantasy,Fantasy,Fantasy,Romance,Paranormal,Paranormal,Fantasy,Fantasy,Paranormal"
133,Catherine the Great: Portrait of a Woman (Hardcover),Robert K. Massie,4.06,209806,9566,small,new,3.93,large,"History,Biography,Nonfiction,Cultural,Historical,Biography Memoir,History,Audiobook,History,Literature"
134,Pumpkin Farmer,Michael  Hughes,2.5,788,494,very small,new,2.52,small,"Thriller,Fiction,Thriller"
135,"Unwind (Unwind, #1)",Neal Shusterman,4.22,1004938,127742,medium,new,4.17,large,"Young Adult,Science Fiction,Science Fiction,Fiction,Fantasy,Horror,Young Adult,Thriller,Adventure,Adventure"
136,"Ninth House (Alex Stern, #1)",Leigh Bardugo,4.17,3659366,407619,medium,new,4.03,large,"Fantasy,Fiction,Mystery,Adult,Horror,Fantasy,Fantasy,Contemporary,Audiobook,Fantasy"
137,"Girl, Woman, Other (Hardcover)",Bernardine Evaristo,4.28,218885,21963,medium,new,4.32,large,"Fiction,Feminism,Contemporary,LGBT,Literary Fiction,Short Stories,LGBT,Audiobook,Race,Womens"
