Title,Author,Rating,Raters,Genres,Author Average Rating,Author Votes,Review Count,Distinct Works,Year
Deer in the Headlights: My Life in Sarah Palin's Crosshairs,Levi Johnston,2.82,168,"Nonfiction,Autobiography,Biography,Biography,Biography Memoir",,,,,
The Sunshine When She's Gone,Thea Goodman,2.8,890,"Fiction,Contemporary,Adult Fiction,Adult,Book Club,Womens Fiction,Family",,,,,
Son of Rosemary,Ira Levin,2.54,3941,"Horror,Fiction,Mystery,Thriller,Fantasy,Fantasy,Fantasy,Classics,Suspense,Adult",,,,,
The Twins of Tribeca,Rachel Pine,2.89,559,"Womens Fiction,Fiction,Adult Fiction,Literature",,,,,
The Thomas Berryman Number,James Patterson,2.83,5630,"Mystery,Fiction,Thriller,Mystery,Suspense,Thriller,Audiobook,Action,Adult,Adult Fiction",,,,,
The Emperor's Children,Claire Messud,2.97,20495,"Fiction,Contemporary,Novels,Literary Fiction,New York,Book Club,Literature,Literature,Adult Fiction,Unfinished",,,,,
Quattrocento,Susana Fortes,2.78,681,"Historical,Historical,Fiction,Thriller,Cultural,Mystery,Art,Romance,Mystery,Romance",,,,,
Boys of Blood & Bone,David Metzenthen,2.63,319,"War,Historical,Academic,Young Adult",,,,,
The Way I See It: A Look Back at My Life on Little House,Melissa Sue Anderson,2.77,1590,"Biography,Autobiography,Nonfiction,Biography,Biography Memoir,Adult,Media Tie In,Unfinished,Audiobook",,,,,
The Different Girl,Gordon Dahlquist,2.89,1597,"Young Adult,Science Fiction,Science Fiction,Young Adult,Fantasy,Fiction,Mystery,Science Fiction,Futuristic,Adventure",,,,,
The White Man's Burden,Rudyard Kipling,2.14,189,"Poetry,Classics,Academic,Historical,History,Nonfiction,Historical,Adult,Race,Academic",,,,,
A Wonderful Stroke of Luck,Ann Beattie,2.45,429,"Fiction,School Stories,Unfinished,Novels",,,,,
The Silence,Don DeLillo,2.68,10599,"Fiction,Science Fiction,Science Fiction,Contemporary,Novella,Audiobook,Literary Fiction,Novels,Literature,Literature",,,,,
Rainbow Party,Paul Ruditis,2.61,405,"Young Adult,Young Adult,Fiction,Sexuality,Realistic Fiction,Childrens,Literature,Romance,Womens Fiction",,,,,
Sweet Valley Confidential: Ten Years Later,Francine Pascal,2.5,7252,"Womens Fiction,Young Adult,Fiction,Adult Fiction,Contemporary,Audiobook,Romance,Novels,Unfinished,Young Adult",,,,,
Nothing,Annie Barrows,2.92,798,"Young Adult,Contemporary,Fiction,Realistic Fiction,Audiobook,Young Adult,Young Adult,Humor,Young Adult,Romance",,,,,
One Night at the Call Center,Chetan Bhagat,2.52,58043,"Fiction,Asian Literature,Cultural,Romance,Contemporary,Novels,Drama,Young Adult,Humor,Fantasy",,,,,
"Here's the Situation: A Guide to Creeping on Chicks, Avoiding Grenades, and Getting in Your GTL on the Jersey Shore","Mike ""The Situation"" Sorrentino",2.52,108,"Nonfiction,Humor",,,,,
The Naked Truth: The Real Story Behind the Real Housewife of New Jersey--In Her Own Words,Danielle Staub,2.4,280,"Biography,Autobiography,Nonfiction,Biography Memoir,Biography",,,,,
"I Want to Be Organized: How to De-Clutter, Manage Your Time and Get Things Done",Harriet Griffey,2.78,176,"Nonfiction,Self Help,Productivity",,,,,
Kind of a Big Deal,Shannon Hale,2.83,3331,"Young Adult,Fantasy,Contemporary,Fiction,Romance,Magical Realism,Young Adult,Audiobook,Young Adult,Young Adult",,,,,
An Arsonist's Guide to Writers' Homes in New England,Brock Clarke,2.96,6264,"Fiction,Mystery,Humor,Novels,Writing,Contemporary,Unfinished,Literature,Literary Fiction,Adult Fiction",,,,,
The Dressmaker,Elizabeth Oberbeck,2.9,883,"Fiction,Romance,Historical,Womens Fiction,Couture,Cultural,Adult,Adult Fiction,Book Club",,,,,
There Is No Dog,Meg Rosoff,2.94,2915,"Young Adult,Fantasy,Fiction,Humor,Religion,Young Adult,Romance,Contemporary,Magical Realism,Fantasy",,,,,
The Second Wave (Kissing the Coronavirus #2),M.J.    Edwards,2.17,841,"Adult Fiction,Romance,Adult,Science Fiction,Novella,Fiction,Humor,Humor,Short Stories,Contemporary",,,,,
"Cleaving: A Story of Marriage, Meat, and Obsession",Julie Powell,2.46,4458,"Autobiography,Nonfiction,Food and Drink,Biography,Food and Drink,Food and Drink,Adult,Food and Drink,Audiobook,Marriage",,,,,
Healing Homosexuality: Case Stories of Reparative Therapy,Joseph Nicolosi,2.42,139,Psychology,,,,,
NOT A BOOK,William Luther,2.95,1448,,,,,,
Panic in a Suitcase,Yelena Akhtiorskaya,2.78,1104,"Fiction,Historical,Cultural,Literary Fiction,Contemporary,New York,Family,Cultural,Novels,Adult Fiction",,,,,
Superman: True Brit,Kim Howard Johnson,2.79,513,"Sequential Art,Sequential Art,Dc Comics,Superheroes,Humor,Comics,Comics,Fiction,Graphic Novels Comics,Science Fiction",,,,,
Impossible Views of the World,Lucy Ives,2.63,859,"Fiction,Mystery,Contemporary,Literary Fiction,Art,Adult Fiction,Adult,Audiobook,New York,Novels",,,,,
The Revolution of Jack Frost,K.M. Robinson,2.73,120,"Young Adult,Science Fiction,Science Fiction,Fiction,Fantasy,Retellings,Young Adult",,,,,
"The Betrothed (The Betrothed, #1)",Kiera Cass,3.02,34294,"Romance,Young Adult,Fantasy,Fiction,Audiobook,Historical,Young Adult,Historical,Science Fiction,Young Adult",,,,,
After the Race,James Joyce,2.91,217,"Short Stories,Classics,Fiction,European Literature,Literature,Cultural,Literature,Cultural",,,,,
Pumpkin Farmer,Michael  Hughes,2.52,573,"Thriller,Fiction,Thriller",,,,,
Three Quarters Dead,Richard Peck,2.84,822,"Young Adult,Fantasy,Fantasy,Horror,Fantasy,Young Adult,Fiction,Young Adult,Paranormal,Mystery",,,,,
Fat Vampire: A Never Coming of Age Story,Adam Rex,2.85,2916,"Young Adult,Paranormal,Fantasy,Humor,Fantasy,Fiction,Young Adult,Fantasy,Horror,Fantasy",,,,,
Alentejo Blue,Monica Ali,2.74,1172,"Fiction,Cultural,Short Stories,Contemporary,Literary Fiction,Novels,Adolescence,Female Authors,Cultural,Travel",,,,,
Bodies,Si Spencer,2.86,623,"Sequential Art,Sequential Art,Mystery,Horror,Fiction,Historical,Graphic Novels Comics,Fantasy,Science Fiction,Comics",,,,,
Ronit & Jamil,Pamela L. Laskin,2.84,1524,"Poetry,Young Adult,Romance,Contemporary,Retellings,Fiction,Young Adult,Realistic Fiction,Audiobook,Cultural",,,,,
The Fig Eater,Jody Shields,2.94,3116,"Fiction,Historical,Mystery,Historical,Mystery,Book Club,Thriller,Literary Fiction,Thriller,Womens",,,,,
Doctor Who: The Bog Warrior,Cecelia Ahern,2.87,140,"Media Tie In,Science Fiction,Fantasy,Romance,Short Stories",,,,,
How Did It Begin?: The Origin of Our Curious Customs and Superstitions,Rudolph Brasch,2.93,286,"History,Nonfiction,Reference,Folklore,Science,Religion,Cultural",,,,,
A Christmas Tree,Charles Dickens,2.93,608,"Holiday,Classics,Short Stories,Fiction,Historical,Audiobook,Classics,European Literature,Literature,Holiday",,,,,
Killing Time,Caleb Carr,2.8,3421,"Fiction,Science Fiction,Mystery,Thriller,Fantasy,Science Fiction Fantasy,Science Fiction,Historical,Science Fiction,Adventure",,,,,
Ghosts Know,Ramsey Campbell,2.8,256,"Horror,Mystery,Fiction,Thriller",,,,,
Gnostic Mystery,Randy Davila,2.92,336,"Fiction,Mystery,Religion,Spirituality,Philosophy,Historical,Christian Fiction,Historical,Novels,Adult Fiction",,,,,
Beautiful Children,Charles Bock,2.9,1960,"Fiction,Novels,Adult Fiction,Contemporary,Literary Fiction,Adult,Unfinished,Dark,Family,Book Club",,,,,
Academy X,Andrew S. Trees,2.69,298,"Fiction,Young Adult,Adult,Young Adult,Novels,Academic,Young Adult,New York",,,,,
"Green Arrow, Volume 2: Triple Threat",Ann Nocenti,2.7,956,"Sequential Art,Sequential Art,Superheroes,Comics,Graphic Novels Comics,Comics,Fiction,Science Fiction",,,,,
Socialite Evenings,Shobhaa Dé,2.6,334,"Fiction,Womens Fiction,Cultural,Asian Literature",,,,,
The Worst Noel: Hellish Holiday Tales,Cynthia Kaplan,2.7,334,"Holiday,Humor,Short Stories,Fiction,Anthologies,Holiday,Writing",,,,,
The Ultimates 3: Who Killed the Scarlet Witch?,Jeph Loeb,2.41,958,"Sequential Art,Sequential Art,Superheroes,Comics,Comics,Fiction,Graphic Novels Comics,Science Fiction,Comics Manga,Fantasy",,,,,
لا سكاكين في مطابخ هذه المدينة,خالد خليفة,2.96,3034,"Fiction,Novels,Historical,Literary Fiction,Literature,Contemporary,War,Cultural,Historical,Politics",,,,,
"Baldur's Gate (Forgotten Realms: Baldur's Gate, #1)",Philip Athans,2.72,1088,"Dungeons and Dragons,Fantasy,Fiction,Role Playing Games,Adventure,Games,Sports and Games,Science Fiction Fantasy,Fantasy,Literature",,,,,
"Psycho House (Psycho, #3)",Robert Bloch,2.75,931,"Horror,Mystery,Fiction,Thriller,Audiobook,Suspense,Novels,Mystery,The United States Of America,Holiday",,,,,
The Girl In The Coffee Shop,Caedem Marquez,2.43,221,"Romance,Short Stories,Fiction,Womens Fiction",,,,,
Yellow Dog,Martin Amis,2.79,1918,"Fiction,Literature,Novels,Contemporary,European Literature,Literary Fiction,Literature,Humor,Modern,Unfinished",,,,,
De historie van Mejuffrouw Sara Burgerhart,Betje Wolff,3.01,606,"Classics,Academic,Fiction,Literature,European Literature,Historical,Academic,Literature,Novels,Historical",,,,,
"Voodoo, Vol. 2: The Killer in Me",Joshua Williamson,2.84,166,"Sequential Art,Sequential Art,Superheroes,Comics,Comics,Science Fiction,Graphic Novels Comics",,,,,
Enclave,Kit Reed,2.75,208,"Fiction,Science Fiction,Young Adult,Science Fiction,Fantasy,Gothic,Science Fiction Fantasy",,,,,
"The Grave Gourmet (Capucine Culinary Mystery, #1)",Alexander Campion,2.85,891,"Mystery,Fiction,Mystery,Food and Drink,Food and Drink,Thriller,Cultural,Cultural,Mystery,Contemporary",,,,,
Skull Flowers,Jazon Dion Fletcher,2.62,144,"Fantasy,Young Adult,Science Fiction,Gothic,Science Fiction,Science Fiction,Speculative Fiction,Fantasy,Plays,Science Fiction",,,,,
Celebutantes,Amanda Goldberg,2.95,1825,"Womens Fiction,Fiction,Young Adult,Adult,Adult Fiction,Contemporary,Unfinished,Couture,Novels,Humor",,,,,
"The Girl of Hawthorn and Glass (The Girl of Hawthorn and Glass, #1)",Adan Jerreat-Poole,2.91,668,"Fantasy,Young Adult,LGBT,Paranormal,Fiction,Romance,Fantasy,LGBT,Contemporary,Fantasy",,,,,
"The Life and Opinions of Maf the Dog, and of His Friend Marilyn Monroe",Andrew O'Hagan,2.73,732,"Fiction,Historical,Animals,Animals,Historical,Humor,Culture,Literary Fiction,Literature,Novels",,,,,
The Dewey Decimal System of Love,Josephine Carr,2.74,576,"Romance,Fiction,Womens Fiction,Adult Fiction,Adult,Mystery,Contemporary,Romance,Humor,Writing",,,,,
"Green Arrow, Volume 1: The Midas Touch",Dan Jurgens,2.95,1991,"Sequential Art,Sequential Art,Superheroes,Comics,Comics,Graphic Novels Comics,Fiction,Fantasy,Science Fiction,Thriller",,,,,
Paravion,Hafid Bouazza,3.04,672,"Fiction,European Literature,Literature,Roman,Literary Fiction,Novels,Literature",,,,,
"Men of War, Vol. 1: Uneasy Company",Ivan Brandon,2.94,272,"Sequential Art,Sequential Art,Superheroes,Graphic Novels Comics,Fiction,War,Comics",,,,,
A Dark Matter,Peter Straub,2.97,4403,"Horror,Fiction,Mystery,Thriller,Fantasy,Fantasy,Suspense,Fantasy,Audiobook,Occult",,,,,
The Marvelous Misadventures of Ingrid Winter (Ingrid Winter Misadventure #1),Janne S. Drangsholt,2.97,6337,"Fiction,Humor,Contemporary,Womens Fiction,Novels,Family,Audiobook,Mystery,Humor,Literary Fiction",,,,,
Tiger Babies Strike Back: How I Was Raised by a Tiger Mom but Could Not Be Turned to the Dark Side,Kim Wong Keltner,2.96,260,"Nonfiction,Autobiography,Parenting,Cultural,Unfinished,Humor,Biography,Literature,Cultural,Literature",,,,,
"Nothing Bad Is Going to Happen (No One Else Can Have You, #2)",Kathleen  Hale,2.89,756,"Mystery,Young Adult,Fiction,Contemporary,Realistic Fiction,Romance,Thriller,Thriller,Mystery,Humor",,,,,
The Daylight Marriage,Heidi Pitlor,2.96,3910,"Fiction,Mystery,Thriller,Thriller,Suspense,Literary Fiction,Contemporary,Adult,Adult Fiction,Drama",,,,,
I Take You,Eliza Kennedy,2.97,5810,"Fiction,Womens Fiction,Romance,Humor,Contemporary,Adult,Audiobook,Adult Fiction,Marriage,Humor",,,,,
A Desirable Residence,Madeleine Wickham,2.96,6441,"Womens Fiction,Fiction,Romance,Contemporary,Audiobook,Adult,European Literature,Womens Fiction,Adult Fiction,Family",,,,,
"Three Bedrooms, Two Baths, One Very Dead Corpse",David  James,2.94,231,"Mystery,Mystery,Fiction",,,,,
The Crimson Shamrock,Michael  Hughes,2.96,114,,,,,,
The Cult of the Amateur: How Today's Internet Is Killing Our Culture,Andrew Keen,2.82,1123,"Nonfiction,Science,Computers,Sociology,Cultural,Business,Psychology,Culture,Internet,Economics",,,,,
My Boyfriend's Back,Chrissy Olinger,2.94,672,"Romance,Fantasy,Fantasy,Fiction,Womens Fiction,Novella,Contemporary,Short Stories,Paranormal,Romance",,,,,
The Red House,Mark Haddon,2.96,15529,"Fiction,Contemporary,Family,Literary Fiction,European Literature,Unfinished,Novels,Audiobook,Adult Fiction,Adult",,,,,
Vissen redden,Annelies Verbeke,2.93,437,"Fiction,Roman,European Literature",,,,,
Lake People,Abi Maxwell,2.92,367,"Fiction,Adult Fiction,Contemporary,Literary Fiction",,,,,
"Heather, the Totality",Matthew Weiner,2.92,6412,"Fiction,Contemporary,Audiobook,Adult,Adult Fiction,Thriller,Literary Fiction,Novels,Novella,New York",,,,,
Bumble-Ardy,Maurice Sendak,2.95,935,"Childrens,Childrens,Animals,Fiction,Poetry,Humor,Childrens,Fantasy,Family,Young Adult",,,,,
The Pleasures of Men,Kate Williams,2.79,1622,"Historical,Mystery,Historical,Fiction,Gothic,Horror,Historical,Mystery,Thriller,Suspense",,,,,
بريد الليل,Hoda Barakat,3.03,2621,"Fiction,Cultural,Novels,Audiobook,War,Adult,Literary Fiction,Short Stories,Contemporary,Literature",,,,,
The Glades,Clifton Campbell,2.93,284,"Mystery,Fiction,Thriller,Short Stories,Thriller,Mystery",,,,,
Serenade,Leon de Winter,2.92,319,"Literature,Fiction,European Literature,Roman,Music",,,,,
Checkpoint,Nicholson Baker,2.89,886,"Fiction,Novels,Politics,Literary Fiction,Contemporary,Literature,Adult Fiction,The United States Of America",,,,,
The Better to Hold You (Abra Barrow #1),Alisa Sheckley,2.92,414,"Fantasy,Fantasy,Romance,Romance,Fantasy,Shapeshifters,Fiction,Paranormal,Adult,Fantasy",,,,,
The Orphanage of Gods,Helena Coggan,2.92,324,"Fantasy,Young Adult,LGBT,Young Adult,Romance,Fiction,Fantasy,Mystery,LGBT,LGBT",,,,,
Crazy,Benjamin Lebert,2.92,2202,"Young Adult,Fiction,European Literature,Contemporary,Academic,Novels,Young Adult,Cultural,Roman,Drama",,,,,
