,Description
12,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer17967847701656166406"">This is the story of Louis, as told in his own words, of his journey through mortal and immortal life. Louis recounts how he became a vampire at the hands of the radiant and sinister Lestat and how he became indoctrinated, unwillingly, into the vampire way of life. His story ebbs and flows through the streets of New Orleans, defining crucial moments such as his discovery o</span>
  <span id=""freeText17967847701656166406"" style=""display:none"">This is the story of Louis, as told in his own words, of his journey through mortal and immortal life. Louis recounts how he became a vampire at the hands of the radiant and sinister Lestat and how he became indoctrinated, unwillingly, into the vampire way of life. His story ebbs and flows through the streets of New Orleans, defining crucial moments such as his discovery of the exquisite lost young child Claudia, wanting not to hurt but to comfort her with the last breaths of humanity he has inside. Yet, he makes Claudia a vampire, trapping her womanly passion, will, and intelligence inside the body of a small child. Louis and Claudia form a seemingly unbreakable alliance and even ""settle down"" for a while in the opulent French Quarter. Louis remembers Claudia's struggle to understand herself and the hatred they both have for Lestat that sends them halfway across the world to seek others of their kind. Louis and Claudia are desperate to find somewhere they belong, to find others who understand, and someone who knows what and why they are.<br/><br/>Louis and Claudia travel Europe, eventually coming to Paris and the ragingly successful Theatre des Vampires--a theatre of vampires pretending to be mortals pretending to be vampires. Here they meet the magnetic and ethereal Armand, who brings them into a whole society of vampires. But Louis and Claudia find that finding others like themselves provides no easy answers and in fact presents dangers they scarcely imagined.<br/><br/>Originally begun as a short story, the book took off as Anne wrote it, spinning the tragic and triumphant life experiences of a soul. As well as the struggles of its characters, Interview captures the political and social changes of two continents. The novel also introduces Lestat, Anne's most enduring character, a heady mixture of attraction and revulsion. The book, full of lush description, centers on the themes of immortality, change, loss, sexuality, and power.<br/>source: annerice.com</span>
  <a data-text-id=""17967847701656166406"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
13,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer17790272955411781702"">Stephen King returns to the characters and territory of one of his most popular novels ever, The Shining, in this instantly riveting novel about the now middle-aged Dan Torrance (the boy protagonist of The Shining) and the very special 12-year-old girl he must save from a tribe of murderous paranormals.<br/><br/>On highways across America, a tribe of people called The True Knot trav</span>
  <span id=""freeText17790272955411781702"" style=""display:none"">Stephen King returns to the characters and territory of one of his most popular novels ever, The Shining, in this instantly riveting novel about the now middle-aged Dan Torrance (the boy protagonist of The Shining) and the very special 12-year-old girl he must save from a tribe of murderous paranormals.<br/><br/>On highways across America, a tribe of people called The True Knot travel in search of sustenance. They look harmless - mostly old, lots of polyester, and married to their RVs. But as Dan Torrance knows, and spunky 12-year-old Abra Stone learns, The True Knot are quasi-immortal, living off the ""steam"" that children with the ""shining"" produce when they are slowly tortured to death.<br/><br/>Haunted by the inhabitants of the Overlook Hotel where he spent one horrific childhood year, Dan has been drifting for decades, desperate to shed his father's legacy of despair, alcoholism, and violence. Finally, he settles in a New Hampshire town, an AA community that sustains him, and a job at a nursing home where his remnant ""shining"" power provides the crucial final comfort to the dying. Aided by a prescient cat, he becomes ""Doctor Sleep.""<br/><br/>Then Dan meets the evanescent Abra Stone, and it is her spectacular gift, the brightest shining ever seen, that reignites Dan's own demons and summons him to a battle for Abra's soul and survival. This is an epic war between good and evil, a gory, glorious story that will thrill the millions of hyper-devoted fans of The Shining and wildly satisfy anyone new to the territory of this icon in the King canon.</span>
  <a data-text-id=""17790272955411781702"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
14,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer5920889675746235360"">The Zombie War came unthinkably close to eradicating humanity. Max Brooks, driven by the urgency of preserving the acid-etched first-hand experiences of the survivors from those apocalyptic years, traveled across the United States of America and throughout the world, from decimated cities that once teemed with upwards of thirty million souls to the most remote and inhospit</span>
  <span id=""freeText5920889675746235360"" style=""display:none"">The Zombie War came unthinkably close to eradicating humanity. Max Brooks, driven by the urgency of preserving the acid-etched first-hand experiences of the survivors from those apocalyptic years, traveled across the United States of America and throughout the world, from decimated cities that once teemed with upwards of thirty million souls to the most remote and inhospitable areas of the planet. He recorded the testimony of men, women, and sometimes children who came face-to-face with the living, or at least the undead, hell of that dreadful time. World War Z is the result. Never before have we had access to a document that so powerfully conveys the depth of fear and horror, and also the ineradicable spirit of resistance, that gripped human society through the plague years.<br/><br/>Ranging from the now infamous village of New Dachang in the United Federation of China, where the epidemiological trail began with the twelve-year-old Patient Zero, to the unnamed northern forests where untold numbers sought a terrible and temporary refuge in the cold, to the United States of Southern Africa, where the Redeker Plan provided hope for humanity at an unspeakable price, to the west-of-the-Rockies redoubt where the North American tide finally started to turn, this invaluable chronicle reflects the full scope and duration of the Zombie War.<br/><br/>Most of all, the book captures with haunting immediacy the human dimension of this epochal event. Facing the often raw and vivid nature of these personal accounts requires a degree of courage on the part of the reader, but the effort is invaluable because, as Mr. Brooks says in his introduction, ""By excluding the human factor, aren't we risking the kind of personal detachment from history that may, heaven forbid, lead us one day to repeat it? And in the end, isn't the human factor the only true difference between us and the enemy we now refer to as 'the living dead'?""<br/><br/>Note: Some of the numerical and factual material contained in this edition was previously published under the auspices of the United Nations Postwar Commission.</span>
  <a data-text-id=""5920889675746235360"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
15,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer12012866609922165114""><b>Shirley Jackson’s beloved gothic tale of a peculiar girl named Merricat and her family’s dark secret</b><br/><br/>Taking readers deep into a labyrinth of dark neurosis, <i>We Have Always Lived in the Castle</i> is a deliciously unsettling novel about a perverse, isolated, and possibly murderous family and the struggle that ensues when a cousin arrives at their estate. This edition features a n</span>
  <span id=""freeText12012866609922165114"" style=""display:none""><b>Shirley Jackson’s beloved gothic tale of a peculiar girl named Merricat and her family’s dark secret</b><br/><br/>Taking readers deep into a labyrinth of dark neurosis, <i>We Have Always Lived in the Castle</i> is a deliciously unsettling novel about a perverse, isolated, and possibly murderous family and the struggle that ensues when a cousin arrives at their estate. This edition features a new introduction by Jonathan Lethem.</span>
  <a data-text-id=""12012866609922165114"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
16,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer15105571346897600634"">Durante toda su vida Cujo fue un buen perro, un San Bernardo grandote, pacífico, juguetón y amante de los niños. Realmente se trataba de un perro bueno y feliz. Feliz hasta que le sucedió algo, y el cerebro de perro de Cujo se cubrió de una de esas oscuridades que se alimentan de sangre. Ahora, se ha convertido en un perro asesino; doblemente cruel por cuanto la gente no c</span>
  <span id=""freeText15105571346897600634"" style=""display:none"">Durante toda su vida Cujo fue un buen perro, un San Bernardo grandote, pacífico, juguetón y amante de los niños. Realmente se trataba de un perro bueno y feliz. Feliz hasta que le sucedió algo, y el cerebro de perro de Cujo se cubrió de una de esas oscuridades que se alimentan de sangre. Ahora, se ha convertido en un perro asesino; doblemente cruel por cuanto la gente no conoce su mutación y aún le ve en su anterior bondad. Heraldo de un pequeño Apocalipsis, Cujo desencadenará sobre un pueblo modélico un huracán de pánico y de muerte.<br/><br/>Uno de los grandes clásicos de Stephen King, el gran maestro actual de la literatura de terror.</span>
  <a data-text-id=""15105571346897600634"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
17,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer3440936687529619419"">NOS4A2 is a spine-tingling novel of supernatural suspense from master of horror Joe Hill, the New York Times bestselling author of Heart-Shaped Box and Horns.<br/><br/>Victoria McQueen has a secret gift for finding things: a misplaced bracelet, a missing photograph, answers to unanswerable questions. On her Raleigh Tuff Burner bike, she makes her way to a rickety covered bridge that</span>
  <span id=""freeText3440936687529619419"" style=""display:none"">NOS4A2 is a spine-tingling novel of supernatural suspense from master of horror Joe Hill, the New York Times bestselling author of Heart-Shaped Box and Horns.<br/><br/>Victoria McQueen has a secret gift for finding things: a misplaced bracelet, a missing photograph, answers to unanswerable questions. On her Raleigh Tuff Burner bike, she makes her way to a rickety covered bridge that, within moments, takes her wherever she needs to go, whether it’s across Massachusetts or across the country.<br/><br/>Charles Talent Manx has a way with children. He likes to take them for rides in his 1938 Rolls-Royce Wraith with the NOS4A2 vanity plate. With his old car, he can slip right out of the everyday world, and onto the hidden roads that transport them to an astonishing – and terrifying – playground of amusements he calls “Christmasland.”<br/> <br/>Then, one day, Vic goes looking for trouble—and finds Manx. That was a lifetime ago. Now Vic, the only kid to ever escape Manx’s unmitigated evil, is all grown up and desperate to forget. But Charlie Manx never stopped thinking about Victoria McQueen. He’s on the road again and he’s picked up a new passenger: Vic’s own son.</span>
  <a data-text-id=""3440936687529619419"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
18,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer14776885502872787831"">Georgetown, Washington D.C. Actress and divorced mother Chris MacNeil starts to experience 'difficulties' with her usually sweet-natured eleven-year-old daughter Regan. The child becomes afflicted by spasms, convulsions and unsettling amnesiac episodes; these abruptly worsen into violent fits of appalling foul-mouthed curses, accompanied by physical mutation. Medical scien</span>
  <span id=""freeText14776885502872787831"" style=""display:none"">Georgetown, Washington D.C. Actress and divorced mother Chris MacNeil starts to experience 'difficulties' with her usually sweet-natured eleven-year-old daughter Regan. The child becomes afflicted by spasms, convulsions and unsettling amnesiac episodes; these abruptly worsen into violent fits of appalling foul-mouthed curses, accompanied by physical mutation. Medical science is baffled by Regan's plight and, in her increasing despair, Chris turns to troubled priest and psychiatrist Damien Karras, who immediately recognises something profoundly malevolent in Regan's distorted fetures and speech. On Karras's recommendation, the Church summons Father Merrin, a specialist in the exorcism of demons . . .</span>
  <a data-text-id=""14776885502872787831"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
19,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer88027750245172267"">Something is out there, something terrifying that must not be seen. One glimpse of it, and a person is driven to deadly violence. No one knows what it is or where it came from.<br/><br/>Five years after it began, a handful of scattered survivors remains, including Malorie and her two young children. Living in an abandoned house near the river, she has dreamed of fleeing to a place w</span>
  <span id=""freeText88027750245172267"" style=""display:none"">Something is out there, something terrifying that must not be seen. One glimpse of it, and a person is driven to deadly violence. No one knows what it is or where it came from.<br/><br/>Five years after it began, a handful of scattered survivors remains, including Malorie and her two young children. Living in an abandoned house near the river, she has dreamed of fleeing to a place where they might be safe. Now that the boy and girl are four, it's time to go, but the journey ahead will be terrifying: twenty miles downriver in a rowboat—blindfolded—with nothing to rely on but her wits and the children's trained ears. One wrong choice and they will die. Something is following them all the while, but is it man, animal, or monster?<br/><br/>Interweaving past and present, <i>Bird Box</i> is a snapshot of a world unraveled that will have you racing to the final page.</span>
  <a data-text-id=""88027750245172267"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
20,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer4089962904322028805"">The day after they moved in, Coraline went exploring....<br/><br/>In Coraline's family's new flat are twenty-one windows and fourteen doors. Thirteen of the doors open and close. <br/><br/>The fourteenth is locked, and on the other side is only a brick wall, until the day Coraline unlocks the door to find a passage to another flat in another house just like her own. <br/><br/>Only it's different. <br/><br/>At fi</span>
  <span id=""freeText4089962904322028805"" style=""display:none"">The day after they moved in, Coraline went exploring....<br/><br/>In Coraline's family's new flat are twenty-one windows and fourteen doors. Thirteen of the doors open and close. <br/><br/>The fourteenth is locked, and on the other side is only a brick wall, until the day Coraline unlocks the door to find a passage to another flat in another house just like her own. <br/><br/>Only it's different. <br/><br/>At first, things seem marvelous in the other flat. The food is better. The toy box is filled with wind-up angels that flutter around the bedroom, books whose pictures writhe and crawl and shimmer, little dinosaur skulls that chatter their teeth. But there's another mother, and another father, and they want Coraline to stay with them and be their little girl. They want to change her and never let her go. <br/><br/>Other children are trapped there as well, lost souls behind the mirrors. Coraline is their only hope of rescue. She will have to fight with all her wits and all the tools she can find if she is to save the lost children, her ordinary life, and herself. <br/><br/>Critically acclaimed and award-winning author Neil Gaiman will delight readers with his first novel for all ages.</span>
  <a data-text-id=""4089962904322028805"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
21,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer14326002539792456406"">An aging death-metal rock god, Judas Coyne, is a collector of the macabre: a cookbook for cannibals... a used hangman's noose... a snuff film. But nothing he possesses is as unlikely or as dreadful as an item he learns is for sale on the Internet. For a thousand dollars, Jude will become the proud owner of a dead man's suit, said to be haunted by the deceased's restless sp</span>
  <span id=""freeText14326002539792456406"" style=""display:none"">An aging death-metal rock god, Judas Coyne, is a collector of the macabre: a cookbook for cannibals... a used hangman's noose... a snuff film. But nothing he possesses is as unlikely or as dreadful as an item he learns is for sale on the Internet. For a thousand dollars, Jude will become the proud owner of a dead man's suit, said to be haunted by the deceased's restless spirit. Judas has spent a lifetime coping with ghosts - of an abusive father, of the lovers he callously abandoned, of the bandmates he betrayed - so what's one more?<br/><br/>But what UPS delivers to his door in a black heart-shaped box is no imaginary or metaphorical ghost, it's the real thing. And suddenly the suit's previous owner is everywhere - behind the bedroom door... seated in Jude's restored vintage Mustang... staring out from his widescreen TV - dangling a gleaming razor blade on a chain from one hand...</span>
  <a data-text-id=""14326002539792456406"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
22,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer8147444669291661624"">Leland Gaunt opens a new shop in Castle Rock called Needful Things. Anyone who enters his store finds the object of his or her lifelong dreams and desires: a prized baseball card, a healing amulet. In addition to a token payment, Gaunt requests that each person perform a little ""deed,"" usually a seemingly innocent prank played on someone else from town. These practical jok</span>
  <span id=""freeText8147444669291661624"" style=""display:none"">Leland Gaunt opens a new shop in Castle Rock called Needful Things. Anyone who enters his store finds the object of his or her lifelong dreams and desires: a prized baseball card, a healing amulet. In addition to a token payment, Gaunt requests that each person perform a little ""deed,"" usually a seemingly innocent prank played on someone else from town. These practical jokes cascade out of control and soon the entire town is doing battle with itself. Only Sheriff Alan Pangborn suspects that Gaunt is behind the population's increasingly violent behavior.</span>
  <a data-text-id=""8147444669291661624"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
